employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted,has_prior_rating,previous_year_rating_display,training_bucket
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4.0,17,0,47.0,1,1,4.0,<50
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,53.0,0,1,3.0,50-59
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,0,80.0,0,0,,70-79
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,0,52.0,0,1,4.0,50-59
58747,R&D,region_26,Bachelor's,m,other,1,34,5.0,5,0,87.0,0,1,5.0,80+
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,0,58.0,0,1,3.0,50-59
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,58.0,1,0,,50-59
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,50.0,1,0,,<50
73729,Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,0,75.0,0,1,4.0,70-79
45624,Analytics,region_31,Bachelor's,m,other,1,30,3.0,7,0,84.0,1,1,3.0,80+
75677,Operations,region_22,Bachelor's,f,other,1,50,5.0,5,0,59.0,0,1,5.0,50-59
24040,Technology,region_22,Master's & above,m,other,1,34,5.0,7,0,78.0,1,1,5.0,70-79
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,52.0,0,1,1.0,50-59
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,44.0,0,1,4.0,<50
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3.0,14,0,52.0,0,1,3.0,50-59
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,0,49.0,1,1,4.0,<50
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,51.0,0,1,1.0,50-59
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,0,53.0,0,1,4.0,50-59
7520,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,0,91.0,0,1,3.0,80+
59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,58.0,1,1,3.0,50-59
53092,Technology,region_2,Bachelor's,m,referred,1,47,3.0,7,0,79.0,0,1,3.0,70-79
34564,Operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,53.0,0,1,2.0,50-59
66013,Sales & Marketing,region_2,Unknown,m,sourcing,2,25,3.0,2,0,53.0,0,1,3.0,50-59
77135,R&D,region_22,Bachelor's,m,other,1,36,4.0,8,0,82.0,0,1,4.0,80+
44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,65.0,1,0,,60-69
47498,Operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,0,60.0,1,1,5.0,50-59
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,52.0,0,1,2.0,50-59
69094,Sales & Marketing,region_2,Unknown,m,sourcing,1,39,1.0,9,0,49.0,0,1,1.0,<50
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,0,69.0,1,1,5.0,60-69
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,51.0,0,0,,50-59
62658,Sales & Marketing,region_2,Unknown,f,sourcing,1,20,,1,0,55.0,0,0,,50-59
21628,Analytics,region_12,Bachelor's,m,other,1,34,3.0,8,0,85.0,0,1,3.0,80+
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,0,74.0,0,1,4.0,70-79
44523,HR,region_2,Master's & above,m,other,1,47,3.0,7,0,44.0,0,1,3.0,<50
35420,Operations,region_2,Bachelor's,f,other,1,44,4.0,13,0,53.0,0,1,4.0,50-59
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,0,86.0,0,1,4.0,80+
64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,77.0,0,0,,70-79
41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,57.0,0,1,3.0,50-59
21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3.0,12,0,52.0,0,1,3.0,50-59
51256,Finance,region_2,Master's & above,m,other,1,60,5.0,17,0,59.0,0,1,5.0,50-59
66635,Operations,region_15,Bachelor's,m,other,1,31,5.0,4,0,63.0,1,1,5.0,60-69
16027,Operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,57.0,0,1,3.0,50-59
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,0,83.0,0,1,3.0,80+
28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,0,54.0,0,1,5.0,50-59
33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,50.0,0,1,5.0,<50
21387,Operations,region_13,Bachelor's,m,other,1,35,4.0,6,0,57.0,1,1,4.0,50-59
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,0,62.0,0,1,4.0,60-69
60763,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,73.0,0,1,3.0,70-79
53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,50.0,0,1,3.0,<50
32672,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,79.0,0,1,2.0,70-79
48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,49.0,0,1,4.0,<50
51444,HR,region_13,Bachelor's,f,other,1,30,,1,0,54.0,0,0,,50-59
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,0,63.0,0,1,4.0,60-69
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,0,90.0,1,1,3.0,80+
17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,49.0,0,1,5.0,<50
54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,46.0,0,1,4.0,<50
51892,Technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,86.0,1,1,5.0,80+
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,72.0,0,1,3.0,70-79
38771,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,0,72.0,1,1,4.0,70-79
18959,Technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,82.0,0,1,4.0,80+
21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,77.0,0,1,4.0,70-79
26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,0,51.0,1,1,5.0,50-59
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,1,92.0,1,1,5.0,80+
41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,0,58.0,0,0,,50-59
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,0,71.0,0,1,3.0,70-79
5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,0,83.0,0,0,,80+
15227,Procurement,region_27,Master's & above,f,other,1,40,5.0,5,0,68.0,0,1,5.0,60-69
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,50.0,0,0,,<50
42068,Operations,region_1,Master's & above,m,other,1,38,5.0,9,0,59.0,0,1,5.0,50-59
54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,0,47.0,0,1,3.0,<50
77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,46.0,0,1,5.0,<50
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,0,67.0,0,1,5.0,60-69
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,58.0,0,1,4.0,50-59
19318,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,89.0,1,1,3.0,80+
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,50.0,0,1,5.0,<50
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,0,56.0,0,0,,50-59
29521,Technology,region_15,Bachelor's,m,other,1,27,3.0,4,0,78.0,0,1,3.0,70-79
36371,Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,56.0,0,1,3.0,50-59
51164,Technology,region_14,Bachelor's,f,other,1,31,4.0,4,1,78.0,0,1,4.0,70-79
17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,77.0,0,1,4.0,70-79
7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,76.0,0,1,3.0,70-79
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,0,56.0,0,0,,50-59
73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,0,84.0,0,1,5.0,80+
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,57.0,0,1,3.0,50-59
40262,Technology,region_2,Bachelor's,m,other,2,28,3.0,5,0,81.0,0,1,3.0,80+
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,51.0,0,1,3.0,50-59
62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,0,51.0,0,1,3.0,50-59
63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,0,80.0,0,1,5.0,70-79
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,72.0,0,1,1.0,70-79
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,0,50.0,0,1,4.0,<50
74018,HR,region_7,Master's & above,f,other,1,37,3.0,9,0,48.0,0,1,3.0,<50
34985,Technology,region_5,Bachelor's,f,other,2,34,5.0,8,0,88.0,1,1,5.0,80+
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,0,70.0,1,1,5.0,60-69
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,0,57.0,0,1,4.0,50-59
5515,Operations,region_13,Master's & above,m,other,1,43,3.0,7,0,56.0,1,1,3.0,50-59
53373,Operations,region_13,Bachelor's,m,other,1,36,1.0,5,0,56.0,0,1,1.0,50-59
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,63.0,0,1,3.0,60-69
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,56.0,0,1,3.0,50-59
50622,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,84.0,0,1,5.0,80+
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,0,50.0,0,1,4.0,<50
45157,HR,region_4,Bachelor's,m,other,1,27,,1,0,50.0,0,0,,<50
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,75.0,0,1,3.0,70-79
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,48.0,0,1,1.0,<50
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,0,70.0,0,1,5.0,60-69
42245,Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,0,73.0,0,1,3.0,70-79
34405,Procurement,region_2,Master's & above,f,other,1,33,5.0,4,0,67.0,0,1,5.0,60-69
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,50.0,0,1,1.0,<50
23599,Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,82.0,0,1,4.0,80+
942,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,84.0,0,1,4.0,80+
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,53.0,0,1,4.0,50-59
197,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,0,59.0,0,1,5.0,50-59
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,50.0,0,1,1.0,<50
26773,Technology,region_7,Bachelor's,f,other,1,28,2.0,5,0,75.0,0,1,2.0,70-79
70034,Procurement,region_2,Master's & above,f,other,2,35,3.0,9,0,70.0,0,1,3.0,60-69
40565,Technology,region_2,Bachelor's,f,other,2,40,3.0,3,0,86.0,0,1,3.0,80+
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,0,54.0,0,1,2.0,50-59
76550,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,0,70.0,0,1,3.0,60-69
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,57.0,0,1,2.0,50-59
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,59.0,0,0,,50-59
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,0,84.0,0,1,5.0,80+
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,51.0,0,1,3.0,50-59
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,49.0,0,1,4.0,<50
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,0,70.0,0,1,4.0,60-69
34306,Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,0,72.0,0,1,5.0,70-79
34041,Operations,region_7,Bachelor's,m,other,1,40,4.0,11,0,58.0,0,1,4.0,50-59
21356,Operations,region_15,Bachelor's,f,other,2,39,5.0,12,0,55.0,0,1,5.0,50-59
29540,Operations,region_2,Bachelor's,f,other,2,30,3.0,6,0,57.0,0,1,3.0,50-59
51669,Technology,region_2,Master's & above,m,other,1,47,4.0,4,0,77.0,0,1,4.0,70-79
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,0,48.0,1,1,4.0,<50
6254,Operations,region_2,Unknown,f,other,1,33,4.0,9,0,64.0,0,1,4.0,60-69
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,51.0,0,1,5.0,50-59
3231,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,80.0,0,1,1.0,70-79
7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,86.0,0,1,3.0,80+
54198,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,68.0,0,1,5.0,60-69
62293,Operations,region_27,Bachelor's,m,other,1,35,4.0,3,0,65.0,0,1,4.0,60-69
25312,Technology,region_22,Bachelor's,m,other,1,27,4.0,2,0,75.0,0,1,4.0,70-79
75610,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,81.0,0,1,1.0,80+
16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,0,49.0,0,1,3.0,<50
42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,0,39.0,0,1,1.0,<50
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,70.0,0,1,3.0,60-69
53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,94.0,1,1,4.0,80+
72423,Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,0,60.0,0,1,3.0,50-59
73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,0,51.0,0,1,5.0,50-59
63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,56.0,0,1,5.0,50-59
60761,Operations,region_16,Unknown,f,other,1,31,4.0,2,0,62.0,0,1,4.0,60-69
57228,HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,0,48.0,0,1,5.0,<50
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,0,49.0,0,1,3.0,<50
22725,Technology,region_26,Bachelor's,m,other,1,40,1.0,3,0,78.0,0,1,1.0,70-79
18981,Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,1,58.0,0,1,5.0,50-59
50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,70.0,0,1,3.0,60-69
11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,69.0,0,1,1.0,60-69
16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,53.0,0,1,1.0,50-59
75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1.0,4,0,80.0,0,1,1.0,70-79
73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,0,58.0,0,1,5.0,50-59
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,85.0,0,0,,80+
58338,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,0,81.0,0,1,5.0,80+
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,0,67.0,0,1,1.0,60-69
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,86.0,0,1,4.0,80+
27188,Analytics,region_13,Master's & above,m,other,1,30,3.0,4,0,80.0,0,1,3.0,70-79
24291,Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,0,85.0,0,1,5.0,80+
43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,68.0,0,0,,60-69
52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,58.0,0,1,3.0,50-59
34241,Analytics,region_22,Bachelor's,m,other,2,28,3.0,5,0,86.0,0,1,3.0,80+
76661,Procurement,region_17,Bachelor's,m,other,1,31,5.0,3,0,68.0,0,1,5.0,60-69
50595,Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,58.0,0,1,4.0,50-59
67673,Operations,region_4,Bachelor's,f,other,1,35,5.0,9,0,60.0,0,1,5.0,50-59
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,49.0,0,1,3.0,<50
73405,Operations,region_2,Master's & above,m,other,1,50,3.0,8,0,59.0,0,1,3.0,50-59
73114,HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,50.0,0,1,4.0,<50
22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3.0,5,0,52.0,0,1,3.0,50-59
62923,Operations,region_13,Master's & above,f,other,1,38,5.0,2,1,93.0,1,1,5.0,80+
57235,Sales & Marketing,region_26,Unknown,m,other,1,22,4.0,2,0,51.0,0,1,4.0,50-59
22300,HR,region_20,Bachelor's,m,other,1,28,,1,0,52.0,0,0,,50-59
24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3.0,9,0,69.0,0,1,3.0,60-69
57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3.0,9,0,86.0,0,1,3.0,80+
25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,51.0,0,1,3.0,50-59
71339,Technology,region_6,Bachelor's,m,other,1,35,3.0,8,0,78.0,0,1,3.0,70-79
54714,Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,0,85.0,0,1,3.0,80+
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,0,63.0,0,1,5.0,60-69
9563,Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,60.0,0,1,3.0,50-59
39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,48.0,0,1,1.0,<50
19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,52.0,0,1,2.0,50-59
42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,54.0,0,0,,50-59
32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,84.0,0,1,3.0,80+
43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2.0,4,0,57.0,1,1,2.0,50-59
24414,R&D,region_2,Unknown,m,other,1,25,,1,0,76.0,0,0,,70-79
63237,Technology,region_22,Bachelor's,m,referred,1,26,4.0,2,0,82.0,0,1,4.0,80+
32838,Technology,region_7,Bachelor's,m,other,1,31,4.0,4,0,78.0,0,1,4.0,70-79
23003,Technology,region_14,Bachelor's,f,other,1,38,5.0,7,0,82.0,0,1,5.0,80+
45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4.0,9,0,49.0,0,1,4.0,<50
40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5.0,4,1,50.0,0,1,5.0,<50
60176,Procurement,region_15,Master's & above,f,other,1,34,5.0,8,0,67.0,0,1,5.0,60-69
67652,Procurement,region_23,Master's & above,f,other,1,33,3.0,5,0,72.0,0,1,3.0,70-79
15476,Technology,region_2,Bachelor's,f,other,1,29,5.0,3,0,78.0,0,1,5.0,70-79
55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,0,59.0,0,1,4.0,50-59
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,56.0,0,0,,50-59
10058,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,0,87.0,0,1,4.0,80+
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,64.0,0,1,5.0,60-69
51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,46.0,0,1,3.0,<50
70060,Technology,region_13,Master's & above,m,other,1,43,3.0,14,0,79.0,0,1,3.0,70-79
51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1.0,8,0,39.0,0,1,1.0,<50
71904,Technology,region_7,Master's & above,f,other,2,38,3.0,10,0,88.0,0,1,3.0,80+
76080,Operations,region_7,Bachelor's,f,other,1,34,1.0,5,0,54.0,0,1,1.0,50-59
33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,63.0,0,1,4.0,60-69
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1.0,4,0,59.0,0,1,1.0,50-59
26409,Operations,region_2,Bachelor's,m,other,1,33,4.0,3,0,59.0,0,1,4.0,50-59
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4.0,5,0,48.0,0,1,4.0,<50
